date_id,date,day,month,year,quarter,weekday
93,2014-01-08,20140108,201401,2014,2014Q1,Wednesday
94,2014-01-09,20140109,201401,2014,2014Q1,Thursday
95,2014-01-10,20140110,201401,2014,2014Q1,Friday
96,2014-01-11,20140111,201401,2014,2014Q1,Saturday
97,2014-01-12,20140112,201401,2014,2014Q1,Sunday
98,2014-01-13,20140113,201401,2014,2014Q1,Monday
99,2014-01-14,20140114,201401,2014,2014Q1,Tuesday
100,2014-01-15,20140115,201401,2014,2014Q1,Wednesday
101,2014-01-16,20140116,201401,2014,2014Q1,Thursday
102,2014-01-17,20140117,201401,2014,2014Q1,Friday
103,2014-01-18,20140118,201401,2014,2014Q1,Saturday
104,2014-01-19,20140119,201401,2014,2014Q1,Sunday
105,2014-01-20,20140120,201401,2014,2014Q1,Monday
106,2014-01-21,20140121,201401,2014,2014Q1,Tuesday
107,2014-01-22,20140122,201401,2014,2014Q1,Wednesday
108,2014-01-23,20140123,201401,2014,2014Q1,Thursday
109,2014-01-24,20140124,201401,2014,2014Q1,Friday
110,2014-01-25,20140125,201401,2014,2014Q1,Saturday
111,2014-01-26,20140126,201401,2014,2014Q1,Sunday
112,2014-01-27,20140127,201401,2014,2014Q1,Monday
113,2014-01-28,20140128,201401,2014,2014Q1,Tuesday
114,2014-01-29,20140129,201401,2014,2014Q1,Wednesday
115,2014-01-30,20140130,201401,2014,2014Q1,Thursday
116,2014-01-31,20140131,201401,2014,2014Q1,Friday
117,2014-02-01,20140201,201402,2014,2014Q1,Saturday
118,2014-02-02,20140202,201402,2014,2014Q1,Sunday
119,2014-02-03,20140203,201402,2014,2014Q1,Monday
120,2014-02-04,20140204,201402,2014,2014Q1,Tuesday
121,2014-02-05,20140205,201402,2014,2014Q1,Wednesday
122,2014-02-06,20140206,201402,2014,2014Q1,Thursday
123,2014-02-07,20140207,201402,2014,2014Q1,Friday
124,2014-02-08,20140208,201402,2014,2014Q1,Saturday
125,2014-02-09,20140209,201402,2014,2014Q1,Sunday
126,2014-02-10,20140210,201402,2014,2014Q1,Monday
127,2014-02-11,20140211,201402,2014,2014Q1,Tuesday
128,2014-02-12,20140212,201402,2014,2014Q1,Wednesday
129,2014-02-13,20140213,201402,2014,2014Q1,Thursday
130,2014-02-14,20140214,201402,2014,2014Q1,Friday
131,2014-02-15,20140215,201402,2014,2014Q1,Saturday
132,2014-02-16,20140216,201402,2014,2014Q1,Sunday
133,2014-02-17,20140217,201402,2014,2014Q1,Monday
134,2014-02-18,20140218,201402,2014,2014Q1,Tuesday
135,2014-02-19,20140219,201402,2014,2014Q1,Wednesday
136,2014-02-20,20140220,201402,2014,2014Q1,Thursday
137,2014-02-21,20140221,201402,2014,2014Q1,Friday
138,2014-02-22,20140222,201402,2014,2014Q1,Saturday
139,2014-02-23,20140223,201402,2014,2014Q1,Sunday
140,2014-02-24,20140224,201402,2014,2014Q1,Monday
141,2014-02-25,20140225,201402,2014,2014Q1,Tuesday
142,2014-02-26,20140226,201402,2014,2014Q1,Wednesday
143,2014-02-27,20140227,201402,2014,2014Q1,Thursday
144,2014-02-28,20140228,201402,2014,2014Q1,Friday
145,2014-03-01,20140301,201403,2014,2014Q1,Saturday
146,2014-03-02,20140302,201403,2014,2014Q1,Sunday
147,2014-03-03,20140303,201403,2014,2014Q1,Monday
148,2014-03-04,20140304,201403,2014,2014Q1,Tuesday
149,2014-03-05,20140305,201403,2014,2014Q1,Wednesday
150,2014-03-06,20140306,201403,2014,2014Q1,Thursday
151,2014-03-07,20140307,201403,2014,2014Q1,Friday
152,2014-03-08,20140308,201403,2014,2014Q1,Saturday
153,2014-03-09,20140309,201403,2014,2014Q1,Sunday
154,2014-03-10,20140310,201403,2014,2014Q1,Monday
155,2014-03-11,20140311,201403,2014,2014Q1,Tuesday
156,2014-03-12,20140312,201403,2014,2014Q1,Wednesday
157,2014-03-13,20140313,201403,2014,2014Q1,Thursday
158,2014-03-14,20140314,201403,2014,2014Q1,Friday
159,2014-03-15,20140315,201403,2014,2014Q1,Saturday
