latitude,longitude,geo_id
41.4455,-82.1377,0
29.8736,-90.0568,1
39.9272,-82.0073,2
36.1189,-95.8429,3
30.6884,-87.048,4
38.4333,-84.3542,5
45.5252,-122.992,6
36.8802,-80.0085,7
42.0999,-72.5896,8
33.5746,-81.7321,9
47.7549,-117.402,10
40.9764,-75.2797,11
40.4107,-79.993,12
42.267,-71.0989,13
47.6,-122.332,14
33.5396,-86.7628,15
34.5544,-92.5802,16
43.1682,-77.6019,17
42.3223,-122.868,18
45.2615,-122.687,19
47.986,-122.203,20
29.6537,-95.4568,21
30.443,-88.9163,22
32.9777,-104.423,23
35.093,-106.644,24
36.2321,-76.1573,25
33.1202,-85.2172,26
41.6923,-86.6932,27
41.4302,-81.5889,28
46.4464,-120.452,29
40.6695,-111.963,30
32.0604,-111.269,31
33.5816,-83.9434,32
43.5802,-83.9084,33
27.795,-97.3989,34
41.748,-74.0837,35
41.3048,-72.923,36
41.2524,-95.998,37
29.9551,-90.0747,38
40.7495,-73.9893,39
42.5952,-83.261,40
42.8969,-78.8263,41
42.259,-122.84,42
33.5028,-82.0412,43
41.8946,-84.0267,44
43.6169,-116.201,45
41.1801,-73.1887,46
39.9539,-75.1597,47
32.3241,-95.2959,48
38.9114,-90.1573,49
45.5229,-122.579,50
37.9951,-78.7232,51
34.3076,-83.8247,52
30.0139,-90.019,53
26.6996,-80.1047,54
40.6937,-73.9913,55
35.7756,-78.6346,56
32.5088,-93.7632,57
38.2441,-85.7637,58
39.9576,-77.6436,59
42.9463,-78.8406,60
41.1172,-87.8725,61
41.3049,-95.9719,62
37.7779,-122.227,63
35.8958,-80.0682,64
40.7614,-111.898,65
43.0013,-78.8622,66
33.2489,-92.6717,67
35.6368,-88.7964,68
42.9997,-83.6578,69
33.7555,-84.3906,70
31.3263,-89.2822,71
44.1136,-70.3152,72
41.5965,-73.0735,73
28.0432,-81.7615,74
40.6995,-85.0355,75
39.4816,-88.3655,76
41.6284,-87.5173,77
44.8312,-91.5221,78
32.4659,-93.8059,79
42.2711,-71.8097,80
40.368,-79.8939,81
30.2339,-92.0094,82
42.192,-121.727,83
38.5887,-121.401,84
33.4368,-111.943,85
35.0029,-89.9369,86
42.2336,-121.809,87
40.8226,-73.9204,88
40.6856,-89.5956,89
42.5263,-71.7592,90
39.8858,-82.9304,91
35.9405,-115.102,92
35.0854,-106.671,93
30.4631,-84.3145,94
39.1223,-94.6455,95
42.3448,-71.072,96
39.5173,-119.805,97
38.5767,-92.1735,98
42.2428,-71.8473,99
40.9136,-74.1278,100
64.8383,-147.72,101
47.1573,-122.514,102
41.6416,-83.545,103
38.8469,-78.7056,104
37.9647,-87.5592,105
39.8545,-88.9823,106
42.4605,-70.9408,107
28.0304,-80.6075,108
38.5295,-89.1489,109
35.6774,-90.5114,110
40.7198,-89.6466,111
40.7075,-74.1594,112
33.7407,-116.304,113
43.0493,-76.1761,114
34.9577,-81.0184,115
42.3994,-83.0129,116
38.3496,-81.6325,117
37.6898,-97.3411,118
29.8946,-90.0702,119
34.6795,-86.8056,120
32.7878,-96.7999,121
31.5922,-94.6743,122
44.6865,-91.1297,123
32.789,-80.0354,124
27.5322,-82.5655,125
32.8129,-83.6996,126
42.5612,-90.8308,127
40.4861,-106.803,128
45.5515,-94.2263,129
42.7564,-84.5283,130
39.294,-76.62,131
41.4596,-90.8182,132
31.7741,-81.6326,133
41.8884,-71.392,134
42.5302,-89.0482,135
31.1274,-97.9117,136
39.7581,-75.5421,137
38.8127,-97.6497,138
44.6297,-69.9295,139
35.9725,-83.9861,140
41.3005,-95.9566,141
33.9776,-118.255,142
41.3278,-73.2924,143
30.6504,-96.3226,144
42.3112,-71.0904,145
40.7224,-74.1907,146
30.1021,-81.7257,147
36.7307,-119.769,148
34.5943,-98.3771,149
40.1073,-88.2095,150
42.9235,-71.4164,151
38.7296,-94.8443,152
44.0053,-73.1716,153
39.6983,-104.837,154
33.829,-80.3742,155
32.6799,-96.6111,156
36.2103,-86.2827,157
42.0901,-72.5544,158
40.8168,-74.1194,159
36.7647,-119.844,160
40.7641,-124.147,161
46.9251,-98.0056,162
34.2603,-92.0806,163
45.5434,-122.511,164
39.3742,-74.4283,165
43.0587,-76.1501,166
41.1862,-73.1302,167
35.5951,-82.5515,168
38.8509,-76.917,169
59.2066,-160.502,170
42.3447,-71.072,171
36.8408,-119.799,172
42.3078,-71.0672,173
37.4995,-120.863,174
36.8401,-88.8028,175
43.1069,-75.2504,176
42.2086,-71.1203,177
43.0041,-83.6842,178
44.6224,-123.075,179
43.4734,-89.7433,180
38.5844,-121.494,181
38.0701,-84.4621,182
29.028,-81.2952,183
33.0253,-97.1046,184
43.0968,-78.9496,185
42.9842,-71.4727,186
41.9368,-103.798,187
40.7997,-124.17,188
42.0212,-87.6804,189
41.0679,-85.1677,190
59.0397,-158.458,191
64.8636,-147.759,192
32.7462,-97.3295,193
37.1502,-86.0439,194
41.7018,-71.144,195
42.4652,-83.1836,196
46.8004,-92.117,197
45.4146,-122.787,198
42.1848,-83.605,199
40.8838,-73.9065,200
41.8275,-71.4178,201
28.4991,-81.2998,202
40.8563,-73.3753,203
42.4913,-79.3253,204
41.4464,-79.6964,205
34.2854,-85.1818,206
41.2924,-95.947,207
40.2087,-74.7478,208
42.2689,-83.5807,209
39.5444,-119.743,210
39.1734,-75.5066,211
44.5356,-75.6625,212
41.9715,-87.8954,213
34.275,-85.1833,214
39.6634,-86.1205,215
39.9308,-105.074,216
40.9343,-124.114,217
42.3038,-71.4101,218
42.0894,-72.5592,219
25.9604,-97.5145,220
35.5589,-80.4062,221
26.2922,-81.801,222
39.0767,-108.549,223
43.736,-87.7286,224
33.705,-78.8682,225
39.7564,-75.5678,226
42.3058,-71.5295,227
33.7072,-78.9093,228
42.292,-71.1175,229
46.1612,-122.909,230
62.9049,-164.337,231
44.5028,-73.1965,232
42.0864,-76.827,233
25.8788,-80.126,234
20.8332,-156.289,235
40.9256,-72.6969,236
42.6444,-71.3105,237
42.4117,-82.9691,238
27.9816,-82.4349,239
42.3276,-71.0706,240
40.0298,-123.584,241
39.8952,-75.1241,242
40.0316,-76.3108,243
42.0932,-72.5619,244
33.7238,-83.4223,245
33.5939,-78.983,246
47.7991,-103.307,247
32.4456,-86.6535,248
38.6352,-90.224,249
35.3767,-106.136,250
30.1624,-85.6532,251
34.6022,-86.9684,252
42.6982,-73.6975,253
43.4059,-84.0134,254
38.007,-84.4319,255
38.832,-104.758,256
46.2094,-119.152,257
42.1214,-79.2413,258
41.8732,-71.3893,259
32.8589,-79.9869,260
41.8583,-86.2435,261
41.4089,-81.5273,262
41.073,-112.026,263
43.2431,-91.4435,264
40.7801,-124.187,265
40.7989,-74.0099,266
39.1019,-84.5133,267
42.5242,-89.0733,268
40.2212,-74.746,269
40.9583,-75.9747,270
35.1153,-106.702,271
34.5293,-82.5086,272
42.2569,-84.752,273
42.2031,-72.6103,274
38.529,-92.1565,275
47.6611,-117.432,276
29.9559,-90.0673,277
41.8546,-87.7274,278
35.5495,-82.5254,279
41.4237,-81.7193,280
42.0832,-71.023,281
30.0299,-90.0252,282
33.5877,-111.996,283
40.2823,-76.8939,284
45.5043,-122.514,285
36.7381,-119.759,286
39.6572,-74.8625,287
33.4498,-81.1262,288
41.2277,-80.7961,289
27.8464,-80.4882,290
47.5208,-122.269,291
45.445,-122.544,292
40.7837,-81.3675,293
47.6138,-122.332,294
41.0754,-81.5195,295
43.3979,-83.9297,296
27.9471,-82.4596,297
35.2614,-80.84,298
42.3645,-122.856,299
47.6187,-122.201,300
42.0922,-86.0744,301
40.2006,-84.7863,302
40.0289,-76.1673,303
34.1924,-85.127,304
38.6778,-121.176,305
47.6147,-122.345,306
46.7357,-117.174,307
41.3214,-72.9493,308
33.8694,-84.3494,309
32.2994,-80.9421,310
28.5356,-82.2759,311
43.1191,-89.2978,312
40.9576,-73.8318,313
42.0971,-71.0237,314
59.8298,-151.815,315
40.8181,-96.7109,316
40.7918,-72.8648,317
34.5293,-117.226,318
39.7598,-75.5387,319
42.9003,-78.8895,320
47.2206,-122.479,321
44.8414,-69.3935,322
38.8235,-97.607,323
43.0869,-75.2191,324
44.0606,-92.4927,325
39.3613,-74.4403,326
41.506,-72.0762,327
33.1773,-117.367,328
35.2445,-80.8576,329
41.5209,-81.5941,330
36.746,-108.175,331
39.1118,-84.6122,332
38.4865,-80.4059,333
40.6778,-73.9528,334
39.16,-75.5233,335
41.903,-87.6871,336
43.1739,-77.6179,337
36.7432,-119.819,338
42.2828,-85.562,339
36.7734,-119.728,340
41.3168,-74.1699,341
42.2895,-71.0882,342
27.2498,-80.3814,343
40.7314,-74.174,344
44.1145,-72.5398,345
29.4179,-98.6632,346
43.5071,-71.6143,347
39.9601,-76.7337,348
45.7841,-108.556,349
36.0971,-79.4142,350
33.4952,-112.009,351
36.1647,-86.816,352
33.6391,-81.5568,353
43.5402,-96.7237,354
36.7418,-119.774,355
32.6662,-97.421,356
33.6845,-84.1994,357
42.4591,-71.3307,358
42.3125,-71.0719,359
37.4392,-79.9037,360
36.7896,-119.788,361
41.8088,-87.6603,362
28.5421,-81.3751,363
38.6812,-90.2732,364
40.7077,-74.0908,365
27.2714,-80.837,366
42.1102,-71.8357,367
25.778,-80.1939,368
47.7066,-117.403,369
37.9258,-84.2926,370
42.2479,-71.8206,371
42.6495,-71.3031,372
39.2741,-84.5596,373
36.7468,-119.773,374
41.5929,-87.3564,375
38.9344,-104.677,376
41.5024,-74.0133,377
40.7089,-73.8186,378
42.6971,-83.2455,379
40.6186,-74.08,380
40.6236,-74.0826,381
40.8932,-74.0117,382
40.7472,-73.9934,383
43.1443,-78.9239,384
38.5026,-90.6279,385
41.7682,-72.6971,386
39.1444,-84.4909,387
30.0802,-94.1266,388
36.1403,-86.8569,389
34.1507,-118.121,390
42.6487,-84.5678,391
47.8884,-117.41,392
39.05,-92.3491,393
30.5227,-90.3455,394
43.0349,-83.6975,395
39.6736,-83.9365,396
41.7471,-72.6832,397
42.0836,-72.549,398
39.8257,-84.8835,399
42.307,-71.0756,400
34.5211,-85.6846,401
29.9569,-90.0686,402
41.6226,-87.6608,403
40.6802,-73.8838,404
45.7705,-108.499,405
38.0794,-78.8979,406
41.7547,-72.7063,407
40.2097,-74.7595,408
40.2289,-74.7871,409
34.0822,-117.956,410
38.2568,-104.618,411
42.0548,-72.7704,412
46.8837,-92.0903,413
38.5851,-75.5723,414
30.5399,-89.1161,415
42.4305,-83.0759,416
43.0891,-75.2122,417
42.2736,-71.7733,418
41.2226,-80.7978,419
36.1622,-86.7761,420
38.7314,-90.1096,421
45.8474,-108.713,422
42.0728,-71.0213,423
42.1155,-72.5614,424
36.9969,-89.1681,425
42.0888,-72.5617,426
41.616,-70.9263,427
40.6847,-89.6135,428
